step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
8,CASH_IN,4899.98,C1000038,20695.67,25595.65,C8701390,5102.14,202.16,0,0
9,DEBIT,1936.54,C1000038,25595.65,23659.11,C8717995,7993.52,9930.06,0,0
10,CASH_IN,234.66,C1000038,23659.11,23893.77,C8976127,8001.23,7766.57,0,0
11,CASH_IN,4901.31,C1000038,23893.77,28795.08,C8176461,8878.86,3977.55,0,0
1,CASH_OUT,3800.57,C1000039,27132.82,23332.25,C8812980,4884.1,8684.67,0,0
2,CASH_IN,7394.8,C1000039,23332.25,30727.05,C8334110,16866.46,9471.66,0,0
3,CASH_IN,5972.68,C1000039,30727.05,36699.73,C8233174,15293.34,9320.66,0,0
4,CASH_OUT,2749.58,C1000039,36699.73,33950.15,C8762589,4804.53,7554.11,0,0
5,DEBIT,1750.13,C1000039,33950.15,32200.02,C8305381,11719.23,13469.36,0,0
6,TRANSFER,1328.76,C1000039,32200.02,30871.26,C8257808,16321.12,17649.88,0,0
7,CASH_IN,1383.21,C1000039,30871.26,32254.47,C8039169,150.14,0.0,0,0
8,CASH_IN,6721.43,C1000039,32254.47,38975.9,C8336129,2766.58,0.0,0,0
9,CASH_IN,969.85,C1000039,38975.9,39945.75,C8450599,7801.25,6831.4,0,0
10,PAYMENT,940.7,C1000039,39945.75,39005.05,M1998608,0.0,0.0,0,0
11,TRANSFER,3725.62,C1000039,39005.05,35279.43,C8877733,19616.42,23342.04,0,0
12,PAYMENT,845.23,C1000039,35279.43,34434.2,M1932899,0.0,0.0,0,0
13,CASH_IN,2201.53,C1000039,34434.2,36635.73,C8223603,17696.98,15495.45,0,0
14,PAYMENT,4998.53,C1000039,36635.73,31637.2,M1663452,0.0,0.0,0,0
15,PAYMENT,2552.5,C1000039,31637.2,29084.7,M1506418,0.0,0.0,0,0
16,CASH_OUT,4123.25,C1000039,29084.7,24961.45,C8552184,13053.73,17176.98,0,0
17,CASH_IN,7995.4,C1000039,24961.45,32956.85,C8105970,10329.19,2333.79,0,0
18,CASH_IN,7814.48,C1000039,32956.85,40771.33,C8095198,6366.53,0.0,0,0
1,TRANSFER,4729.03,C1000040,6010.69,1281.66,C8424776,16642.4,21371.43,0,0
2,CASH_IN,3362.49,C1000040,1281.66,4644.15,C8235222,6430.91,3068.42,0,0
3,CASH_IN,3955.5,C1000040,4644.15,8599.65,C8748820,17860.62,13905.12,0,0
4,PAYMENT,5276.83,C1000040,8599.65,3322.82,M1915730,0.0,0.0,0,0
5,PAYMENT,1783.18,C1000040,3322.82,1539.64,M1096095,0.0,0.0,0,0
6,PAYMENT,100.25,C1000040,1539.64,1439.39,M1226695,0.0,0.0,0,0
7,TRANSFER,1119.49,C1000040,1439.39,319.9,C8000518,696.77,1816.26,0,0
8,DEBIT,266.86,C1000040,319.9,53.04,C8342204,2937.27,3204.13,0,0
1,CASH_IN,787.41,C1000041,66203.72,66991.13,C8545596,7889.63,7102.22,0,0
2,PAYMENT,4518.93,C1000041,66991.13,62472.2,M1737796,0.0,0.0,0,0
3,CASH_OUT,4506.59,C1000041,62472.2,57965.61,C8714353,7358.09,11864.68,0,0
4,PAYMENT,1266.11,C1000041,57965.61,56699.5,M1464679,0.0,0.0,0,0
5,CASH_IN,995.34,C1000041,56699.5,57694.84,C8337247,1719.65,724.31,0,0
6,PAYMENT,4942.18,C1000041,57694.84,52752.66,M1176291,0.0,0.0,0,0
7,TRANSFER,5942.52,C1000041,52752.66,46810.14,C8853704,13070.8,19013.32,0,0
8,CASH_OUT,2369.65,C1000041,46810.14,44440.49,C8137211,17501.68,19871.33,0,0
1,DEBIT,1748.72,C1000042,16999.45,15250.73,C8872858,14694.5,16443.22,0,0
2,CASH_OUT,3314.43,C1000042,15250.73,11936.3,C8383954,14210.66,17525.09,0,0
3,PAYMENT,315.77,C1000042,11936.3,11620.53,M1828546,0.0,0.0,0,0
4,CASH_OUT,2927.43,C1000042,11620.53,8693.1,C8619179,8373.12,11300.55,0,0
5,CASH_IN,6621.56,C1000042,8693.1,15314.66,C8260184,11224.46,4602.9,0,0
6,TRANSFER,1638.77,C1000042,15314.66,13675.89,C8132275,6294.99,7933.76,0,0
7,CASH_OUT,4066.38,C1000042,13675.89,9609.51,C8521917,1321.58,5387.96,0,0
8,PAYMENT,1289.42,C1000042,9609.51,8320.09,M1598142,0.0,0.0,0,0
9,DEBIT,1048.32,C1000042,8320.09,7271.77,C8894510,17805.28,18853.6,0,0
10,CASH_OUT,2867.03,C1000042,7271.77,4404.74,C8840471,1189.73,4056.76,0,0
11,PAYMENT,2588.45,C1000042,4404.74,1816.29,M1935541,0.0,0.0,0,0
12,PAYMENT,1240.63,C1000042,1816.29,575.66,M1026983,0.0,0.0,0,0
13,PAYMENT,135.01,C1000042,575.66,440.65,M1214092,0.0,0.0,0,0
14,TRANSFER,94.09,C1000042,440.65,346.56,C8077793,17205.64,17299.73,0,0
15,PAYMENT,137.81,C1000042,346.56,208.75,M1134691,0.0,0.0,0,0
16,PAYMENT,87.45,C1000042,208.75,121.3,M1342257,0.0,0.0,0,0
17,CASH_OUT,40.81,C1000042,121.3,80.49,C8264806,17767.31,17808.12,0,0
18,CASH_IN,843.66,C1000042,80.49,924.15,C8050861,2148.06,1304.4,0,0
1,CASH_IN,6567.48,C1000043,11513.58,18081.06,C8143238,10521.21,3953.73,0,0
2,PAYMENT,2419.56,C1000043,18081.06,15661.5,M1996676,0.0,0.0,0,0
3,PAYMENT,5692.9,C1000043,15661.5,9968.6,M1086374,0.0,0.0,0,0
4,CASH_IN,1404.21,C1000043,9968.6,11372.81,C8576860,19572.68,18168.47,0,0
5,CASH_OUT,2972.16,C1000043,11372.81,8400.65,C8289781,7614.65,10586.81,0,0
6,TRANSFER,3516.82,C1000043,8400.65,4883.83,C8970883,2561.05,6077.87,0,0
7,PAYMENT,959.73,C1000043,4883.83,3924.1,M1981876,0.0,0.0,0,0
1,TRANSFER,2600.48,C1000044,47967.83,45367.35,C8800673,18535.39,21135.87,0,0
2,CASH_IN,3162.36,C1000044,45367.35,48529.71,C8633148,6585.25,3422.89,0,0
3,CASH_OUT,3416.25,C1000044,48529.71,45113.46,C8383692,13175.07,16591.32,0,0
4,CASH_OUT,1937.88,C1000044,45113.46,43175.58,C8461817,6914.62,8852.5,0,0
5,TRANSFER,585.95,C1000044,43175.58,42589.63,C8305684,14462.28,15048.23,0,0
6,TRANSFER,1302.94,C1000044,42589.63,41286.69,C8166062,11253.45,12556.39,0,0
7,CASH_IN,2096.51,C1000044,41286.69,43383.2,C8970658,16535.8,14439.29,0,0
1,TRANSFER,5544.92,C1000045,54177.92,48633.0,C8945518,11579.55,17124.47,0,0
2,PAYMENT,250.48,C1000045,48633.0,48382.52,M1935693,0.0,0.0,0,0
3,CASH_OUT,178.66,C1000045,48382.52,48203.86,C8680418,14869.2,15047.86,0,0
4,CASH_IN,3996.52,C1000045,48203.86,52200.38,C8452173,9315.15,5318.63,0,0
5,CASH_IN,2679.19,C1000045,52200.38,54879.57,C8005473,17575.27,14896.08,0,0
6,TRANSFER,3399.17,C1000045,54879.57,51480.4,C8058270,3211.77,6610.94,0,0
7,CASH_IN,3997.89,C1000045,51480.4,55478.29,C8270341,10729.76,6731.87,0,0
8,CASH_IN,7710.46,C1000045,55478.29,63188.75,C8851508,17112.84,9402.38,0,0
9,CASH_OUT,5271.32,C1000045,63188.75,57917.43,C8187609,7489.28,12760.6,0,0
10,PAYMENT,4869.56,C1000045,57917.43,53047.87,M1505343,0.0,0.0,0,0
11,CASH_OUT,5893.22,C1000045,53047.87,47154.65,C8481763,12144.23,18037.45,0,0
12,TRANSFER,2232.51,C1000045,47154.65,44922.14,C8127779,2367.98,4600.49,0,0
13,CASH_IN,6709.85,C1000045,44922.14,51631.99,C8417618,5687.94,0.0,0,0
14,PAYMENT,5248.52,C1000045,51631.99,46383.47,M1066061,0.0,0.0,0,0
15,CASH_OUT,2792.78,C1000045,46383.47,43590.69,C8023970,13802.54,16595.32,0,0
16,PAYMENT,4016.62,C1000045,43590.69,39574.07,M1113600,0.0,0.0,0,0
17,TRANSFER,39574.07,C1000045,39574.07,0.0,C8790506,0.0,0.0,1,0
18,PAYMENT,33.85,C1000045,0.0,0.0,M1618714,0.0,0.0,0,0
1,TRANSFER,598.92,C1000046,12890.65,12291.73,C8214326,18946.4,19545.32,0,0
2,TRANSFER,4857.64,C1000046,12291.73,7434.09,C8414902,1614.71,6472.35,0,0
3,DEBIT,5231.03,C1000046,7434.09,2203.06,C8974416,12684.69,17915.72,0,0
4,TRANSFER,961.07,C1000046,2203.06,1241.99,C8364438,10692.02,11653.09,0,0
5,CASH_IN,7671.72,C1000046,1241.99,8913.71,C8035898,807.98,0.0,0,0
6,CASH_IN,2449.03,C1000046,8913.71,11362.74,C8388707,18059.78,15610.75,0,0
7,CASH_IN,6707.93,C1000046,11362.74,18070.67,C8045114,2350.09,0.0,0,0
8,PAYMENT,5011.55,C1000046,18070.67,13059.12,M1936946,0.0,0.0,0,0
9,CASH_OUT,5496.15,C1000046,13059.12,7562.97,C8155757,11348.96,16845.11,0,0
10,TRANSFER,2681.2,C1000046,7562.97,4881.77,C8989174,19375.05,22056.25,0,0
11,PAYMENT,940.64,C1000046,4881.77,3941.13,M1063117,0.0,0.0,0,0
12,PAYMENT,3801.43,C1000046,3941.13,139.7,M1199896,0.0,0.0,0,0
13,CASH_IN,5677.36,C1000046,139.7,5817.06,C8094285,16600.38,10923.02,0,0
14,CASH_IN,6745.13,C1000046,5817.06,12562.19,C8626362,18867.65,12122.52,0,0
15,CASH_IN,4388.12,C1000046,12562.19,16950.31,C8126935,10869.91,6481.79,0,0
16,CASH_IN,7775.84,C1000046,16950.31,24726.15,C8764222,14096.77,6320.93,0,0
17,CASH_OUT,2330.32,C1000046,24726.15,22395.83,C8482937,7231.98,9562.3,0,0
18,TRANSFER,556.72,C1000046,22395.83,21839.11,C8723849,15597.4,16154.12,0,0
1,PAYMENT,961.99,C1000047,74593.39,73631.4,M1860356,0.0,0.0,0,0
2,CASH_IN,1788.7,C1000047,73631.4,75420.1,C8205819,10315.11,8526.41,0,0
3,CASH_IN,7818.68,C1000047,75420.1,83238.78,C8563000,4727.21,0.0,0,0
4,PAYMENT,398.7,C1000047,83238.78,82840.08,M1049117,0.0,0.0,0,0
5,PAYMENT,3420.05,C1000047,82840.08,79420.03,M1364347,0.0,0.0,0,0
6,CASH_OUT,3763.42,C1000047,79420.03,75656.61,C8912447,4037.35,7800.77,0,0
7,CASH_IN,4961.42,C1000047,75656.61,80618.03,C8624870,17282.74,12321.32,0,0
1,TRANSFER,5675.25,C1000048,9065.17,3389.92,C8849386,15415.46,21090.71,0,0
2,CASH_OUT,636.05,C1000048,3389.92,2753.87,C8378309,6414.68,7050.73,0,0
3,DEBIT,1859.49,C1000048,2753.87,894.38,C8162093,4572.91,6432.4,0,0
1,PAYMENT,661.73,C1000049,15172.1,14510.37,M1588843,0.0,0.0,0,0
2,CASH_OUT,3058.99,C1000049,14510.37,11451.38,C8497647,8733.35,11792.34,0,0
3,CASH_IN,3915.93,C1000049,11451.38,15367.31,C8921725,9558.93,5643.0,0,0
4,PAYMENT,3565.88,C1000049,15367.31,11801.43,M1421765,0.0,0.0,0,0
5,PAYMENT,3832.9,C1000049,11801.43,7968.53,M1611169,0.0,0.0,0,0
6,CASH_IN,3778.59,C1000049,7968.53,11747.12,C8050833,17935.11,14156.52,0,0
7,CASH_OUT,380.78,C1000049,11747.12,11366.34,C8801088,12963.67,13344.45,0,0
8,CASH_IN,3453.95,C1000049,11366.34,14820.29,C8822212,12758.73,9304.78,0,0
9,CASH_IN,5066.97,C1000049,14820.29,19887.26,C8434974,6953.47,1886.5,0,0
10,DEBIT,5764.31,C1000049,19887.26,14122.95,C8662528,7418.25,13182.56,0,0
11,TRANSFER,4876.5,C1000049,14122.95,9246.45,C8369332,14731.46,19607.96,0,0
1,PAYMENT,1207.53,C1000050,18808.62,17601.09,M1373938,0.0,0.0,0,0
2,CASH_IN,7162.77,C1000050,17601.09,24763.86,C8626824,5451.73,0.0,0,0
3,PAYMENT,5737.16,C1000050,24763.86,19026.7,M1802430,0.0,0.0,0,0
4,PAYMENT,1762.15,C1000050,19026.7,17264.55,M1154422,0.0,0.0,0,0
5,CASH_OUT,5299.3,C1000050,17264.55,11965.25,C8727650,14163.15,19462.45,0,0
6,PAYMENT,2158.94,C1000050,11965.25,9806.31,M1760545,0.0,0.0,0,0
7,CASH_OUT,901.61,C1000050,9806.31,8904.7,C8389079,6166.66,7068.27,0,0
8,PAYMENT,3310.43,C1000050,8904.7,5594.27,M1273429,0.0,0.0,0,0
9,CASH_IN,605.96,C1000050,5594.27,6200.23,C8240249,9622.46,9016.5,0,0
10,CASH_IN,6529.83,C1000050,6200.23,12730.06,C8782210,8964.81,2434.98,0,0
11,CASH_IN,1963.99,C1000050,12730.06,14694.05,C8181685,7216.21,5252.22,0,0
12,CASH_OUT,2364.52,C1000050,14694.05,12329.53,C8176355,4818.54,7183.06,0,0
1,TRANSFER,1831.73,C1000051,23278.74,21447.01,C8313846,7385.46,9217.19,0,0
2,PAYMENT,4583.67,C1000051,21447.01,16863.34,M1059039,0.0,0.0,0,0
3,CASH_OUT,3865.13,C1000051,16863.34,12998.21,C8930002,17343.45,21208.58,0,0
4,CASH_IN,4927.46,C1000051,12998.21,17925.67,C8832386,17795.59,12868.13,0,0
5,CASH_IN,3714.4,C1000051,17925.67,21640.07,C8908607,1623.08,0.0,0,0
6,PAYMENT,2873.66,C1000051,21640.07,18766.41,M1468678,0.0,0.0,0,0
7,TRANSFER,3417.64,C1000051,18766.41,15348.77,C8494314,11043.25,14460.89,0,0
8,CASH_IN,913.82,C1000051,15348.77,16262.59,C8196780,4503.55,3589.73,0,0
1,CASH_IN,2549.07,C1000052,79596.29,82145.36,C8748998,8033.23,5484.16,0,0
2,CASH_OUT,5634.06,C1000052,82145.36,76511.3,C8268084,6892.82,12526.88,0,0
3,CASH_OUT,1791.87,C1000052,76511.3,74719.43,C8215436,3903.71,5695.58,0,0
4,PAYMENT,5696.78,C1000052,74719.43,69022.65,M1169799,0.0,0.0,0,0
5,TRANSFER,5008.04,C1000052,69022.65,64014.61,C8003148,3838.42,8846.46,0,0
6,PAYMENT,4875.69,C1000052,64014.61,59138.92,M1681328,0.0,0.0,0,0
7,PAYMENT,5481.45,C1000052,59138.92,53657.47,M1769406,0.0,0.0,0,0
8,DEBIT,4890.55,C1000052,53657.47,48766.92,C8140055,4705.13,9595.68,0,0
9,PAYMENT,5787.82,C1000052,48766.92,42979.1,M1561664,0.0,0.0,0,0
10,TRANSFER,2606.44,C1000052,42979.1,40372.66,C8264597,5060.69,7667.13,0,0
11,CASH_IN,6186.2,C1000052,40372.66,46558.86,C8737879,7566.36,1380.16,0,0
12,PAYMENT,45.75,C1000052,46558.86,46513.11,M1835124,0.0,0.0,0,0
13,CASH_OUT,5964.59,C1000052,46513.11,40548.52,C8882960,4159.96,10124.55,0,0
14,CASH_OUT,4863.45,C1000052,40548.52,35685.07,C8038644,1780.84,6644.29,0,0
15,TRANSFER,4487.51,C1000052,35685.07,31197.56,C8156235,3776.73,8264.24,0,0
16,PAYMENT,2472.09,C1000052,31197.56,28725.47,M1371542,0.0,0.0,0,0
1,CASH_IN,3324.16,C1000053,52095.69,55419.85,C8861813,8067.09,4742.93,0,0
2,CASH_IN,2004.71,C1000053,55419.85,57424.56,C8086976,14596.3,12591.59,0,0
3,PAYMENT,2820.02,C1000053,57424.56,54604.54,M1754572,0.0,0.0,0,0
4,PAYMENT,1128.54,C1000053,54604.54,53476.0,M1403528,0.0,0.0,0,0
5,PAYMENT,4780.44,C1000053,53476.0,48695.56,M1463827,0.0,0.0,0,0
6,CASH_IN,6431.63,C1000053,48695.56,55127.19,C8601361,5320.62,0.0,0,0
7,PAYMENT,827.53,C1000053,55127.19,54299.66,M1274134,0.0,0.0,0,0
8,CASH_IN,3246.28,C1000053,54299.66,57545.94,C8402870,4493.79,1247.51,0,0
9,TRANSFER,230.0,C1000053,57545.94,57315.94,C8846670,3238.83,3468.83,0,0
10,DEBIT,4701.77,C1000053,57315.94,52614.17,C8160781,18347.91,23049.68,0,0
11,CASH_IN,6794.63,C1000053,52614.17,59408.8,C8210934,4553.22,0.0,0,0
12,PAYMENT,5207.19,C1000053,59408.8,54201.61,M1541466,0.0,0.0,0,0
13,CASH_OUT,4564.6,C1000053,54201.61,49637.01,C8305799,2565.87,7130.47,0,0
14,CASH_IN,7511.17,C1000053,49637.01,57148.18,C8975229,14567.5,7056.33,0,0
15,CASH_IN,4243.29,C1000053,57148.18,61391.47,C8441222,14895.42,10652.13,0,0
1,PAYMENT,3027.19,C1000054,24452.68,21425.49,M1749352,0.0,0.0,0,0
2,CASH_OUT,3504.21,C1000054,21425.49,17921.28,C8857695,15737.83,19242.04,0,0
3,CASH_IN,2011.46,C1000054,17921.28,19932.74,C8395101,14730.46,12719.0,0,0
4,DEBIT,3148.08,C1000054,19932.74,16784.66,C8796748,15904.65,19052.73,0,0
5,CASH_IN,5788.6,C1000054,16784.66,22573.26,C8188530,18357.2,12568.6,0,0
6,CASH_IN,2848.8,C1000054,22573.26,25422.06,C8659292,12764.47,9915.67,0,0
7,CASH_IN,795.77,C1000054,25422.06,26217.83,C8473932,8247.5,7451.73,0,0
8,CASH_IN,2308.21,C1000054,26217.83,28526.04,C8600642,15755.86,13447.65,0,0
1,CASH_IN,2728.01,C1000055,70915.33,73643.34,C8294139,12127.26,9399.25,0,0
2,CASH_IN,244.38,C1000055,73643.34,73887.72,C8658480,4403.16,4158.78,0,0
3,CASH_IN,4530.01,C1000055,73887.72,78417.73,C8474351,9912.1,5382.09,0,0
4,TRANSFER,5193.3,C1000055,78417.73,73224.43,C8055209,617.86,5811.16,0,0
5,TRANSFER,5671.99,C1000055,73224.43,67552.44,C8867294,14994.12,20666.11,0,0
6,PAYMENT,5202.32,C1000055,67552.44,62350.12,M1050880,0.0,0.0,0,0
7,CASH_IN,7091.36,C1000055,62350.12,69441.48,C8547654,4318.5,0.0,0,0
8,CASH_IN,2003.31,C1000055,69441.48,71444.79,C8531292,4614.93,2611.62,0,0
9,PAYMENT,5751.92,C1000055,71444.79,65692.87,M1442561,0.0,0.0,0,0
10,DEBIT,4469.09,C1000055,65692.87,61223.78,C8710016,10632.26,15101.35,0,0
1,CASH_IN,6503.43,C1000056,51954.26,58457.69,C8449531,6991.27,487.84,0,0
2,CASH_OUT,863.34,C1000056,58457.69,57594.35,C8263111,18057.85,18921.19,0,0
3,CASH_IN,2690.7,C1000056,57594.35,60285.05,C8972345,3382.69,691.99,0,0
4,PAYMENT,558.21,C1000056,60285.05,59726.84,M1187399,0.0,0.0,0,0
5,PAYMENT,5939.14,C1000056,59726.84,53787.7,M1120110,0.0,0.0,0,0
6,PAYMENT,812.6,C1000056,53787.7,52975.1,M1527918,0.0,0.0,0,0
7,CASH_OUT,4651.01,C1000056,52975.1,48324.09,C8827253,12618.24,17269.25,0,0
1,CASH_OUT,2089.46,C1000057,42725.76,40636.3,C8638466,9353.05,11442.51,0,0
2,PAYMENT,4783.5,C1000057,40636.3,35852.8,M1781416,0.0,0.0,0,0
3,PAYMENT,1493.19,C1000057,35852.8,34359.61,M1260703,0.0,0.0,0,0
4,CASH_IN,2675.1,C1000057,34359.61,37034.71,C8645838,13721.0,11045.9,0,0
5,PAYMENT,4594.85,C1000057,37034.71,32439.86,M1856408,0.0,0.0,0,0
6,PAYMENT,1315.4,C1000057,32439.86,31124.46,M1452414,0.0,0.0,0,0
7,CASH_IN,2395.4,C1000057,31124.46,33519.86,C8688900,11376.68,8981.28,0,0
8,PAYMENT,3334.63,C1000057,33519.86,30185.23,M1284541,0.0,0.0,0,0
9,CASH_OUT,3748.81,C1000057,30185.23,26436.42,C8621861,2701.6,6450.41,0,0
1,CASH_OUT,2466.03,C1000058,55241.87,52775.84,C8435179,4447.36,6913.39,0,0
2,CASH_OUT,4462.58,C1000058,52775.84,48313.26,C8086711,4741.24,9203.82,0,0
3,CASH_IN,4389.1,C1000058,48313.26,52702.36,C8960921,15208.43,10819.33,0,0
4,CASH_OUT,3725.92,C1000058,52702.36,48976.44,C8472555,18559.41,22285.33,0,0
5,CASH_OUT,3181.37,C1000058,48976.44,45795.07,C8642043,14750.3,17931.67,0,0
6,PAYMENT,3103.81,C1000058,45795.07,42691.26,M1601996,0.0,0.0,0,0
7,CASH_OUT,5531.68,C1000058,42691.26,37159.58,C8334878,9366.41,14898.09,0,0
8,CASH_IN,3632.08,C1000058,37159.58,40791.66,C8493506,3617.69,0.0,0,0
9,PAYMENT,589.22,C1000058,40791.66,40202.44,M1587066,0.0,0.0,0,0
10,TRANSFER,4620.07,C1000058,40202.44,35582.37,C8000568,14669.33,19289.4,0,0
11,PAYMENT,3428.5,C1000058,35582.37,32153.87,M1975545,0.0,0.0,0,0
12,CASH_IN,1380.55,C1000058,32153.87,33534.42,C8154282,12532.78,11152.23,0,0
13,PAYMENT,3856.54,C1000058,33534.42,29677.88,M1308063,0.0,0.0,0,0
14,TRANSFER,29677.88,C1000058,29677.88,0.0,C8289582,0.0,0.0,1,0
1,CASH_IN,6805.36,C1000059,72651.76,79457.12,C8807002,19976.57,13171.21,0,0
2,PAYMENT,1517.59,C1000059,79457.12,77939.53,M1223945,0.0,0.0,0,0
3,PAYMENT,3503.02,C1000059,77939.53,74436.51,M1750798,0.0,0.0,0,0
1,CASH_IN,7466.82,C1000060,43088.31,50555.13,C8379131,4077.21,0.0,0,0
2,CASH_IN,2460.46,C1000060,50555.13,53015.59,C8528541,8796.18,6335.72,0,0
3,CASH_IN,7881.12,C1000060,53015.59,60896.71,C8581837,18122.14,10241.02,0,0
4,PAYMENT,1938.68,C1000060,60896.71,58958.03,M1798447,0.0,0.0,0,0
5,CASH_OUT,3373.45,C1000060,58958.03,55584.58,C8174398,12733.41,16106.86,0,0
6,TRANSFER,4500.06,C1000060,55584.58,51084.52,C8505502,6671.0,11171.06,0,0
7,PAYMENT,780.81,C1000060,51084.52,50303.71,M1430090,0.0,0.0,0,0
8,CASH_IN,3597.94,C1000060,50303.71,53901.65,C8188712,4557.36,959.42,0,0
9,CASH_IN,4454.15,C1000060,53901.65,58355.8,C8976090,423.12,0.0,0,0
10,PAYMENT,3942.12,C1000060,58355.8,54413.68,M1316361,0.0,0.0,0,0
11,PAYMENT,408.38,C1000060,54413.68,54005.3,M1010102,0.0,0.0,0,0
12,CASH_OUT,149.91,C1000060,54005.3,53855.39,C8054934,16975.84,17125.75,0,0
13,PAYMENT,3647.27,C1000060,53855.39,50208.12,M1228884,0.0,0.0,0,0
14,CASH_OUT,449.35,C1000060,50208.12,49758.77,C8444687,16055.05,16504.4,0,0
15,CASH_IN,137.58,C1000060,49758.77,49896.35,C8593990,3572.08,3434.5,0,0
16,CASH_OUT,917.24,C1000060,49896.35,48979.11,C8903903,4055.81,4973.05,0,0
17,DEBIT,4354.4,C1000060,48979.11,44624.71,C8196473,19062.97,23417.37,0,0
18,CASH_OUT,1815.63,C1000060,44624.71,42809.08,C8599426,9544.66,11360.29,0,0
1,CASH_IN,196.58,C1000061,5585.13,5781.71,C8224415,8783.57,8586.99,0,0
2,DEBIT,3536.97,C1000061,5781.71,2244.74,C8631586,16210.39,19747.36,0,0
3,CASH_IN,867.24,C1000061,2244.74,3111.98,C8776647,9500.45,8633.21,0,0
1,CASH_OUT,2213.43,C1000062,5319.04,3105.61,C8245565,3533.34,5746.77,0,0
2,CASH_IN,7409.21,C1000062,3105.61,10514.82,C8608585,4026.97,0.0,0,0
3,PAYMENT,5551.28,C1000062,10514.82,4963.54,M1929571,0.0,0.0,0,0
4,CASH_IN,145.81,C1000062,4963.54,5109.35,C8715247,15260.39,15114.58,0,0
5,CASH_IN,7767.15,C1000062,5109.35,12876.5,C8970200,11006.47,3239.32,0,0
6,PAYMENT,5101.74,C1000062,12876.5,7774.76,M1060426,0.0,0.0,0,0
7,CASH_OUT,2515.18,C1000062,7774.76,5259.58,C8613827,11436.84,13952.02,0,0
8,PAYMENT,3896.08,C1000062,5259.58,1363.5,M1708854,0.0,0.0,0,0
9,CASH_IN,6799.38,C1000062,1363.5,8162.88,C8075017,9449.37,2649.99,0,0
10,CASH_OUT,1887.04,C1000062,8162.88,6275.84,C8927875,14662.49,16549.53,0,0
11,TRANSFER,1065.35,C1000062,6275.84,5210.49,C8969457,4391.59,5456.94,0,0
12,CASH_OUT,4912.39,C1000062,5210.49,298.1,C8521050,4304.87,9217.26,0,0
13,CASH_IN,3056.69,C1000062,298.1,3354.79,C8734145,17034.44,13977.75,0,0
14,PAYMENT,2083.1,C1000062,3354.79,1271.69,M1477463,0.0,0.0,0,0
15,PAYMENT,887.33,C1000062,1271.69,384.36,M1926669,0.0,0.0,0,0
1,PAYMENT,446.04,C1000063,8895.38,8449.34,M1150598,0.0,0.0,0,0
2,CASH_OUT,4527.55,C1000063,8449.34,3921.79,C8140252,6700.94,11228.49,0,0
3,CASH_IN,4184.57,C1000063,3921.79,8106.36,C8285122,16854.64,12670.07,0,0
4,CASH_OUT,5718.79,C1000063,8106.36,2387.57,C8251417,2317.98,8036.77,0,0
5,CASH_IN,3939.66,C1000063,2387.57,6327.23,C8650793,2832.78,0.0,0,0
6,PAYMENT,4131.45,C1000063,6327.23,2195.78,M1132698,0.0,0.0,0,0
7,PAYMENT,324.15,C1000063,2195.78,1871.63,M1047372,0.0,0.0,0,0
8,CASH_OUT,787.23,C1000063,1871.63,1084.4,C8541715,5592.73,6379.96,0,0
9,PAYMENT,673.95,C1000063,1084.4,410.45,M1521875,0.0,0.0,0,0
10,TRANSFER,274.31,C1000063,410.45,136.14,C8759719,275.55,549.86,0,0
11,PAYMENT,73.02,C1000063,136.14,63.12,M1108666,0.0,0.0,0,0
12,TRANSFER,54.94,C1000063,63.12,8.18,C8005863,10608.82,10663.76,0,0
13,CASH_OUT,8.18,C1000063,8.18,0.0,C8377837,10302.67,10310.85,0,0
1,CASH_IN,227.04,C1000064,9822.42,10049.46,C8421279,12027.46,11800.42,0,0
2,CASH_IN,2314.22,C1000064,10049.46,12363.68,C8501683,15751.11,13436.89,0,0
3,CASH_IN,7848.99,C1000064,12363.68,20212.67,C8632354,846.92,0.0,0,0
1,CASH_IN,179.03,C1000065,13445.97,13625.0,C8546987,9050.16,8871.13,0,0
2,CASH_IN,2625.02,C1000065,13625.0,16250.02,C8151303,9595.97,6970.95,0,0
3,CASH_OUT,802.91,C1000065,16250.02,15447.11,C8978044,1034.43,1837.34,0,0
4,CASH_IN,2163.18,C1000065,15447.11,17610.29,C8045857,10081.28,7918.1,0,0
5,TRANSFER,5582.03,C1000065,17610.29,12028.26,C8090701,10048.26,15630.29,0,0
6,CASH_IN,2107.74,C1000065,12028.26,14136.0,C8726036,10090.9,7983.16,0,0
7,CASH_OUT,1691.33,C1000065,14136.0,12444.67,C8859529,17109.51,18800.84,0,0
8,TRANSFER,3193.73,C1000065,12444.67,9250.94,C8911869,3729.67,6923.4,0,0
9,PAYMENT,205.8,C1000065,9250.94,9045.14,M1976526,0.0,0.0,0,0
10,TRANSFER,1217.1,C1000065,9045.14,7828.04,C8714365,3626.43,4843.53,0,0
11,DEBIT,1595.58,C1000065,7828.04,6232.46,C8680034,7104.36,8699.94,0,0
12,TRANSFER,4306.18,C1000065,6232.46,1926.28,C8460241,7225.98,11532.16,0,0
13,CASH_IN,4597.01,C1000065,1926.28,6523.29,C8466508,4276.62,0.0,0,0
14,CASH_IN,2774.07,C1000065,6523.29,9297.36,C8564550,779.59,0.0,0,0
